,Ten ,Gia ,Thong tin,Anh,The loai
778,Ngồi Đây Nghe Kể Về Thanh Xưng Của Bà Hạt Dẻ,"116.100 đ
				","
Ngồi Đây Nghe Kể Về Thanh Xưng Của Bà Hạt Dẻ
Đối với những người yêu động vật, thú cưng không đơn giản là vật nuôi, mà chúng còn là một phần không thể thiếu của cuộc sống, là những người bạn đồng hành, thậm chí là thành viên đầy ý nghĩa trong gia đình. Đôi khi, không chỉ thú cưng dựa dẫm vào chủ, mà chính chúng ta cũng tìm thấy sự bình yên và nỗi buồn được xoa dịu khi được ở bên cạnh những người bạn nhỏ này. 
Cuốn sách “Ngồi đây nghe kể về Thanh xưng của bà Hạt Dẻ” không chỉ dành cho những người có thú cưng, mà bất cứ ai yêu mến động vật cũng có thể cầm trên tay cuốn sách dễ thương này. Một câu chuyện gần gũi, bình dị và cảm động về hành trình tìm kiếm và nuôi nấng chú cún Hạt Dẻ của tác giả Công Bình. 
Để chăm sóc một chú chó cần rất nhiều tình thương, cũng như kiến thức nuôi dạy thú cưng. “Ngồi đây nghe kể về Thanh xưng của bà Hạt Dẻ” kể bạn nghe về hành trình một chàng trai nhận nuôi chó sau bao trăn trở. Hạt Dẻ đến với tác giả như một duyên lành, mở đầu cho hành trình làm “sen” vừa nhọc mà vừa vui. Không chỉ là vật nuôi, Hạt Dẻ đã trở thành người bạn đồng hành không thể thiếu, một đứa “con” nhận được tất thảy sự quan tâm và cũng mang đến thật nhiều niềm vui và hạnh phúc. Hạt Dẻ dẫn trở nên nổi tiếng trên mạng xã hội với những clip ngộ nghĩnh và không kém phần thông minh mà tác giả Công Bình đăng tải trên mạng xã hội, nhận được vô vàn sự yêu mến từ mọi người. Sau Hạt Dẻ, hai chú cún Mè Đen và Hạt Điều cũng gia nhập gia đình Hạt Dẻ, trở thành một đại gia đình với đầy ắp sự yêu thương.
Với câu từ gần gũi, giản dị và lối kể chuyện đáng yêu, những câu chuyện nhỏ trong cuốn sách sẽ khiến bạn đọc bật cười trước những tình huống mà ai-nuôi-thú-cưng-cũng-gặp, có lúc lại rơm rớm nước mắt trước những sự chia ly không thể nào lường trước. Từ hành trình lựa chọn giống chó phù hợp, nuôi dạy cún cưng thông thạo các mệnh lệnh, xử lý ra sao khi các bé bị ốm và những yêu thương không sao kể đủ của những người nuôi thú cưng được tác giả trần thuật một cách vô cùng chân thực trong cuốn sách.
Nuôi thú cưng không hề dễ dàng, nhưng lại mang đến thật nhiều niềm vui. Thú cưng trở thành chỗ dựa tinh thần, là nơi ta tìm về sau một ngày dài mệt mỏi bôn ba. Cuốn sách là một món quà nhẹ nhàng và ấm áp dành cho bạn đọc, và dành cho gia đình nhỏ của tác giả - nơi tình thương cho thú cưng không bao giờ vụt tắt 
",https://cdn0.fahasa.com/media/catalog/product/9/7/9786043439946.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
779,Mùa Xa Nhà (Tái Bản 2019),"97.750 đ
				","
Mùa xa nhà là cuốn tiểu thuyết kể lại giai đoạn làm lính tình nguyện của Huy, chàng trai thành phố đi nghĩa vụ quân sự, có mặt và sống chiến đấu ở một đơn vị hỏa lực bộ binh trong những năm giữa thập niên 80 thế kỷ 20 ở vùng rừng phía Tây Bắc Campuchia xa xôi.
Từ một chàng trai thư sinh, Huy đã dần quen với cuộc sống. Ở đó Huy không chỉ làm quen với nhiều chàng trai thành phố khác nhập ngũ trước mình, mà còn bè bạn và chịu sự chỉ huy của những chàng trai từ khắp miền Tổ quốc làm nhiệm vụ lính tình nguyện ở Campuchia.
Những vui buồn, hờn giận, những mất mát đau thương, cả những trận chiến đấu nẩy lửa… cứ từng bước tôi cho chàng lính trẻ lần đầu tiên xa nhà trải qua 3 năm chiến trận trở thành một cán bộ trung đội rắn rõi và đầy bản lĩnh. Anh yên lành trở về thành phố, kết thúc mùa xa nhà của đời lính trong sự thay đổi đến ngỡ ngàng. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_192207.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
780,Cô Gái Dưới Tầng Hầm,"120.000 đ
				","
CÔ GÁI DƯỚI HẦM là cuốn tiểu thuyết lịch sử vô cùng hấp dẫn cho chúng ta góc nhìn về cuộc sống của những con người bị đối xử bất công bởi chủng tộc và màu da, trong đó có những người nhập cư Trung Quốc, vào thời kỳ hậu Tái thiết. 
Jo Kuan mười bảy tuổi, cho dù khéo léo và tài năng, nhưng luôn buộc mình phải sống như vô hình để tránh xa rắc rối. Cô cùng cha nuôi ở trong căn hầm bí mật nằm dưới một toà soạn báo, và an phận với công việc làm mũ cho các quý bà quý cô yêu thời trang. Nhưng khi bị mất việc và làm hầu gái cho một quý cô của gia đình giàu có bậc nhất Atlanta, Jo đã chứng kiến rất nhiều sự bất công diễn ra trong thành phố của mình. Thất vọng, cô bắt đầu trở thành tác giả ẩn danh cho chuyên mục tư vấn báo chí có tên “Quý cô Ngọt ngào”. Khi chuyên mục của cô trở nên nổi tiếng với những quan điểm cấp tiến về mọi lĩnh vực, đặc biệt là về những bất công trong xã hội, cũng là lúc danh tính của cô bị săn lùng ráo riết khiến cô phải quyết định xem liệu một con người vốn quen ẩn mình trong bóng tối như cô có sẵn sàng bước ra ánh sáng hay không. 
Ngoài những dấu ấn lịch sử có thực của thời kỳ này, chúng ta cũng được chứng kiến một bức tranh chân thực về những người phụ nữ da màu bị xã hội cô lập phải đấu tranh trong hai trận chiến - vì bình đẳng giới và bình đẳng chủng tộc. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_29466.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
781,Vợ Và Chồng,"118.400 đ
				","
“Có lẽ bất kỳ bậc phụ huynh nào ở hoàn cảnh tương tự cũng sẽ học được cách đương đầu với một đại gia đình bằng việc đọc cuốn sách này hơn là đến gặp bác sĩ tâm lý.” - Sunday Express
GIỚI THIỆU SÁCH:
Thế nào là một gia đình hạnh phúc?
Sau cuộc chia tay đầy cay đắng với người vợ trước, Harry Silver đã sẵn sàng cho một chương mới trong hành trình đi đến “hạnh phúc mãi mãi” của mình. Nhưng đó sẽ là một hành trình trắc trở, bởi một gia đình “rổ rá cạp lại” có những vấn đề rất riêng của nó.
Liệu người ta có thể thật sự yêu đứa con không phải của mình không? Liệu người ta có thể vẫn là người cha tốt với đứa con chỉ được gặp vào cuối tuần không? Liệu Harry có thể duy trì được hạnh phúc trong cuộc sống mới này không?
Bằng ngòi bút sắc sảo, hóm hỉnh Tony Parsons đã vẽ nên một câu chuyện sâu sắc và chân thật về một gia đình kiểu mới trong thế kỷ 21, và một lần nữa cho chúng ta thấy vì sao ông là tác giả được yêu thích ở hơn ba mươi quốc gia.
TÁC GIẢ:
Tony Parsons, sinh ngày 6/11/1953 tại Essex, phía Đông bắc giáp với London. Tony Parsons lớn lên trong một gia đình lao động, cha ông là một cựu chiến binh từng được trao Huân chương Thành tích Xuất sắc (Distinguished Service Medal) trong Thế chiến thứ II. Ông bỏ học năm 16 tuổi và từng làm rất nhiều công việc lao động phổ thông trước khi phát triển kĩ năng viết lách và trở thành một nhà văn, một cây viết cho các tạp chí như NME (New Music Express), The Daily Telegraph, Daily Mirror, The Sun.
Tony Parsons lập gia đình năm 1979 và đến năm 1984 ông bắt đầu cuộc sống của một người cha đơn thân với cậu con trai 4 tuổi của mình. Năm 1987 cha ông mất và đến năm 1999, vài tuần trước khi Cha và Con ra đời, mẹ ông cũng ra đi vì căn bệnh ung thư. Đây chính là nguồn cảm hứng để Tony Parsons viết nên Cha và Con - tác phẩm thành công nhất của ông, từng được dịch ra trên 40 ngôn ngữ và giành giải thưởng Tác phẩm của năm tại British Book Awards 2001.
Các tác phẩm chính của Tony Parson do Nhã Nam xuất bản:
- Cha và con (2015)
- Vợ và chồng (2020) 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_216580.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
782,Dòng Máu Khôn Ngoan - Wise Blood,"129.600 đ
				","
Tay gấp bìa 1: 
Flannery O’Connor (1925-1964) là một trong những tác gia vĩ đại nhất của văn chương Mỹ.
Tác phẩm tiêu biểu:
- Dòng máu khôn ngoan (1952), tiểu thuyết.
- Khó mà tìm được một người tốt (1955), tập truyện ngắn, chung khảo giải thưởng National Book Award.
- Kẻ hung bạo chiếm lấy nó (1960), tiểu thuyết, chung khảo giải thưởng National Book Award.
- Mọi thứ lên cao đều hội tụ (1965), tập truyện ngắn, chung khảo giải thưởng National Book Award.
- Toàn tập truyện ngắn (1971), tập truyện ngắn, giải thưởng National Book Award.
 
Bìa 4: 
“Dòng máu khôn ngoan gây ấn tượng mạnh với tôi hơn bất cứ cuốn tiểu thuyết nào khác mà tôi đã từng đọc trong cả một quãng thời gian dài. Bức tranh cô khắc họa thế giới này thật vô cùng khủng khiếp. Kafka gần như là người duy nhất trong số những nhà văn đương đại của chúng ta đạt được hiệu quả ở tầm mức như vậy.” - Caroline Gordon
 
“Khi đọc Flannery O’Connor, tôi không nghĩ đến Hemingway, hay Katherine Anne Porter, hay Sartre, mà nghĩ đến ai đó giống Sophocles. Còn lời lẽ nào xứng đáng hơn dành cho một nhà văn đây? Tôi viết tên bà với lòng kính trọng, vì tất cả sự thật và tất cả nghệ thuật mà bà đã sử dụng để cho thấy sự sa ngã và ô nhục của con người.” - Thomas Merton
 
Tay gấp bìa 4:
“Nơi các người xuất thân đã chẳng còn, nơi các người nghĩ các người đang tới cũng chẳng có, và các người đang ở đâu cũng chẳng nghĩa lý gì trừ phi các người thoát ra được khỏi nó. Chỗ nào là chốn dung thân cho các người đây? Chẳng có chỗ nào hết...Chẳng có gì ở bên ngoài có thể cho các người một chốn dung thân cả... Bên trong chính bản thân các người ngay lúc này đây chính là toàn bộ chốn dung thân cho các người đó.” 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_236569.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
783,Còn Chút Gì Để Nhớ (Phiên Bản Màu Đặc Biệt),"467.500 đ
				","
Đó là những kỷ niệm thời đi học của Chương, lúc mới bước chân vào Sài Gòn và làm quen với cuộc sống đô thị. Là những mối quan hệ bạn bè tưởng chừng hời hợt thoảng qua nhưng gắn bó suốt cuộc đời. Cuộc sống đầy biến động đã xô dạt mỗi người mỗi nơi, nhưng trải qua hàng mấy chục năm, những kỷ niệm ấy vẫn luôn níu kéo Chương về với một thời để nhớ. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8934974182702.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
784,Chú Chó Hộ Mệnh - Tặng Kèm Bookmark 2 Mặt,"56.000 đ
				","
Chú Chó Hộ Mệnh
Có một chú chó luôn ở bên những con người đang chịu tổn thương hay lạc lối.
Sau khi mất việc do thảm hoạ động đất – sóng thần, Nakagaki Kazumasa giờ phải làm việc phi pháp để có tiền lo cho mẹ mình. Một ngày nọ, anh tình cờ gặp một con chó hoang đói khát trước cửa hàng tiện lợi. Có vẻ nó tên là Tamon, và bị lạc chủ. Chú chó thông minh ấy ngay lập tức cuốn hút Kazumasa, và chẳng mấy chốc anh đã coi nó là thần hộ mệnh của mình.
Nhưng Tamon luôn nhìn về phía Nam. Nó đang tìm kiếm điều gì? Nó muốn đi đâu? Tamon đã trải qua một chuyến hành trình dài năm năm đưa nó đến với nhiều mảnh đời khác nhau, và trở thành món quà cho tất cả những ai chào đón nó vào cuộc sống của họ.
Đây là câu chuyện rực rỡ về sức mạnh của tình bạn và tình yêu thương vô hạn.
CHÚ CHÓ HỘ MỆNH xuất bản năm 2020 tại Nhật Bản, là tác phẩm ăn khách với trên 250.000 bản in được bán ra. Tiểu thuyết đã giành Giải thưởng Naoki danh giá, và được chuyển thể truyện tranh vào năm 2022. 
",https://cdn0.fahasa.com/media/catalog/product/c/h/chu-cho-ho-menh---bookmark.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
785,Gió Tự Thời Khuất Mặt,"129.000 đ
				","
Gió Tự Thời Khuất Mặt
Nhà văn Lê Minh Hà sinh năm 1962 tại Hà Nội. Chị tốt nghiệp Khoa Ngữ văn Ðại học Sư phạm năm 1983. Chị từng giảng dạy tại trường PTTH Hà Nội - Amsterdam, hiện làm việc và sinh sống tại CHLB Ðức. Lê Minh Hà bắt đầu viết văn từ khi chị còn ở trong nước và viết bền bỉ, liên tục trong suốt nhiều năm qua. Cuốn sách đầu tiên của chị được xuất bản năm 1998 tại Mỹ - tập truyện ngắn Trăng goá. Cho tới nay, Lê Minh Hà đã in 18 cuốn sách, bao gồm truyện ngắn, tản văn, tiểu thuyết.
Vào những ngày đầu tiên của năm 2024, Lê Minh Hà in 03 cuốn tiểu thuyết cùng lúc là Phố vẫn gió, Gió tự thời khuất mặt và Những ta. Trong đó, cuốn Gió tự thời khuất mặt đã từng được in 18 năm trước và bản in năm 2024 là ""nguyên bản"", không có sửa chữa biên tập.
Gió tự thời khuất mặt là tiểu thuyết đầu tiên của Lê Minh Hà. Tiếp sau đó là Phố vẫn gió. Với cuốn này, Lê Minh Hà mô tả lao động văn chương của mình là “viết từng từ một, phải nói là viết rất khó nhọc”.
“Phố vẫn gió” lấy bối cảnh Hà Nội từ những năm sau giải phóng 1954 tới nay. Sự đối lập của Hà Nội cũ và Hà Nội hậu chiến là bức tranh đầy cảm xúc mà Lê Minh Hà dựng lên. Có cảm giác sự đau đớn của nhân vật Ngân khi chứng kiến những đổi thay của Hà Nội cũng có bóng dáng của chính chị, một người Hà Nội sống xa Hà Nội đã nhiều năm.
Cả 3 cuốn tiểu thuyết ra mắt bạn đọc của Lê Minh Hà lần này đều về Hà Nội, gắn với Hà Nội, đủ để bạn đọc thấy rằng Hà Nội là một vùng đất đặc biệt có ý nghĩa, không thể dứt bỏ trong tâm trí cũng như sự nghiệp sáng tác của chị.
Sự khác biệt dễ nhận thấy nhất giữa Lê Minh Hà với nhiều nhà văn viết về Hà Nội khác có lẽ là cái tâm thế từ xa nhìn về. Trong tiểu thuyết của Lê Minh Hà, Hà Nội là những mảng kí ức đẹp đẽ, trong trẻo, vẹn nguyên, một Hà Nội vừa gần đây mà dường như cũng đã xưa rồi; và Hà Nội của những chuyến trở về, quan sát, chiêm nghiệm, nghĩ suy, so sánh, có những điều mới mẻ và cũng rất nhiều đã mất đi.
Lê Minh Hà từng nói: ""Cuộc sống 20 năm ở xứ người đã cho phép tôi hiểu một cách kỹ càng hơn về mảnh đất này, mảnh đất mà nói như Nguyễn Huy Tưởng là cần phải sống cùng với nó, sống mãi với Thủ đô. Mà nó lạ lắm, những nhận thức sách vở nọ kia lại không động chạm đến tôi đâu, mà là cái đời sống bên kia từng ngày từng giờ một, như một người dân rất bình thường (bên kia tôi là “osin không lương”), nhưng chính đời sống đó lại giúp tôi hiểu về những cái tôi đã từng đi qua ở Hà Nội”.
Cuộc trở về lần này của Lê Minh Hà góp thêm vào đời sống văn chương Việt Nam hôm nay một chùm tác phẩm thuộc thể loại ""nặng kí"" - tiểu thuyết. Với 3 cuốn sách này, bạn đọc có lẽ sẽ cảm thấy Lê Minh Hà dường như là một người được sinh ra để viết về Hà Nội. 
",https://cdn0.fahasa.com/media/catalog/product/z/5/z5038317657677_033fa03f1d3a2e441df22cbc96e5acfb.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
786,Danh Tác Văn Học Việt Nam - Nắng Trong Vườn (Tái Bản 2024),"36.000 đ
				","
Danh Tác Văn Học Việt Nam - Nắng Trong Vườn (Tái Bản 2024)
Nắng trong vườn là câu chuyện tình yêu của Bình, một chàng trai mười tám tuổi chốn Hà thành phồn hoa lấp lánh ánh đèn, luôn tươi vui, nhộn nhịp và Hậu, cô thôn nữ độ chừng mười lăm, mười sáu tuổi ở miền quê, nơi có những đồi sắn, đồi trà mênh mông sắc xanh trải dài bất tận.
Hai người đến từ hai thế giới hoàn toàn khác biệt tưởng chừng không có điểm chung ấy lại hòa cùng một nhịp thở, họ đã từng trải qua thứ xúc cảm lạ lẫm bộc phát từ trái tim để rồi có cho nhau một tình yêu thật đẹp và đắm say. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935236432030.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
787,Bà Tổng Thống Trước Họng Súng - Shall We Tell The President (Tái Bản 2024),"139.300 đ
				","
Bà Tổng Thống Trước Họng Súng - Shall We Tell The President
Ở kết thúc cuốn Đứa con gái hoang đàng, Florentyna Kane đã được bầu làm Tổng thống – vị nữ Tổng thống đầu tiên của Hợp chủng quốc Hoa Kỳ. Sau hàng thập kỷ đấu tranh, hy sinh, và nếm trải bi kịch cá nhân, bà cuối cùng cũng đạt được mục tiêu của mình. Tuy nhiên, ngay khi bà có bài phát biểu chính thức đầu tiên, những kẻ chống đối bà đang âm mưu khiến bà phải im lặng mãi mãi.
7 giờ 30 phút một tối nọ, FBI nhận được thông tin về âm mưu ám sát bà Tổng thống. Đến 8 giờ 30 phút, có năm người biết được những thông tin về âm mưu ám sát. 9 giờ 30 phút, bốn người trong số họ bị giết.
Người duy nhất còn sống, đặc vụ FBI Mark Andrews, biết về thười điểm bọn sát thủ sẽ hành động và biết được âm mưu này có liên quan đến một vị Thượng Nghị Sĩ, còn về địa điểm, cách thức hay điều quan trọng nhất là danh tỉnh của bọn chúng, anh đều không biết gì. Anh chỉ có sáu ngày để tìm ra kẻ chủ mưu. Trong sáu ngày đó, anh không có thời gian để lãng phí, không được để lại dấu vết, và không được tin tưởng bất kỳ ai. Anh chỉ có sáu ngày để ngăn chặn thứ đang đe dọa sự an nguy của Tổng thống.
Một từ không đúng, một bước đi sai lầm, và cả một quốc gia lẫn giấc mơ hoài bão sẽ sụp đổ.
THÔNG TIN TÁC GIẢ
Jeffrey Archer (sinh ngày 15/4/1940) là một tiểu thuyết gia người Anh, cựu chính trị gia và là người tiên phong trong làng tiểu thuyết Anh Quốc.
Trong suốt sự nghiệp sáng tác của mình, ông ghi dấu ấn với rất nhiều tiểu thuyết nổi tiếng, có thể kể đến : Hai số phận, Đứa con gái hoang đàng và các cuốn cùng series Biên niên Clifton: Chỉ thời gian có thể cất lời, Tội lỗi của người cha, Bí mật sâu kín nhất…
Ông được mệnh danh là một trong những nhà văn có tài kể chuyện hay nhất.
THÔNG TIN VỀ SERIES “KANE VÀ ABEL”
Series về Kane và Abel của Jeffrey Archer xoay quanh những nhân vật của gia đình Rosnovski và Kane. Phần một với nhan đề Kane and Abel được xuất bản với tên tiếng Việt Hai số phận đã và đang là một cuốn sách bán chạy bậc nhất tại Việt Nam. Cuốn sách nói về William Kane và Abel Rosnovski – hai người anh em nhưng lại sinh ra ở hai hoàn cảnh trái ngược; cuốn sách là một câu chuyện cảm động về hành trình đi lên và vượt qua những thử thách. Đứa con gái hoang đàng (The Prodigal Daughter) tiếp nối câu chuyện giữa hai gia đình, có thể nói đây là phần hậu truyện của Hai số phận, cuốn sách nói về cuộc đời và số phận của thế hệ thứ hai, cụ thể hơn là Florentyna Rosnovski – con gái của Abel, khi gia đình Rosnovski đã định cư tại Mỹ.
Và cuối cùng là phần 3 – Bà Tổng thống trước họng súng, tiếp nối câu chuyện dang dở của Đứa con gái hoàng đàng, là câu chuyện về những mối đe dọa mà bà Florentyna phải trải qua khi đã trở thành Tổng thống Mỹ. Không chỉ cam go và gay cấn, hành trình từ buổi lễ tuyên thệ nhậm chức của nữ Tổng thống còn hết sức li kỳ và hấp dẫn. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_2082_1.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
788,Tủ Sách Văn Học Trong Nhà Trường - Mùa Lá Rụng Trong Vườn,"60.000 đ
				","
Tủ Sách Văn Học Trong Nhà Trường - Mùa Lá Rụng Trong Vườn
“Tiểu thuyết Mùa lá rụng trong vườn là chuyện xảy ra chủ yếu giữa mấy con người trong cùng một nhà. Thời gian xảy ra các chuyện trong ngôi nhà ấy là giữa hai mùa lá rụng, tức là gọn trong một năm. Với một tiểu thuyết, thời gian, địa điểm và số lượng nhân vật như vậy là ít, là gọn. Vậy mà nói với độc giả được rất nhiều điều về thời đại, về đất nước, trong đó có điều rất hệ trọng. Chính vì vậy mà chuyện một nhà cũng là chuyện xã hội, không là tất cả thì mang đầy đủ dấu ấn của xã hội. Bởi vậy, tôi gọi Mùa lá rụng trong vườn là chuyện một nhà và chuyện một thời!”
- Nhà văn PHẠM NGỌC CHIỂU
“Có thể gọi Mùa lá rụng trong vườn của Ma Văn Kháng là một cuốn từ điển đầy đủ nhất của cái quãng thời gian kể từ những năm 70 cho tới cuối những năm 80 thế kỉ trước, cuộc đời này đã có những gì, người ta đã sống ra sao, thẩy đều được quy chiếu vào cuốn tiểu thuyết này.
Nói chính xác, Mùa lá rụng trong vườn đã thật sự giữ cho mình sự vinh danh: Là cuốn tiểu thuyết đáng kể vào hạng mẫu mực và mẫu mực này hàm chứa tính cách sư phạm. Riêng tôi thì tôi tin nó sẽ hết sức có ích cho những cây bút nào muốn mon men đến lập nghiệp ở vùng đất của tiểu thuyết.”
- Nhà văn BÙI BÌNH THI
---
Ma Văn Kháng tên thật là Đinh Trọng Đoàn, sinh ngày 01 tháng 12 năm 1936 tại làng Kim Liên, Hà Nội.
Với hơn 20 tiểu thuyết và hơn 200 truyện ngắn, ở tuổi tám mươi, Ma Văn Kháng vẫn tiếp tục viết để hướng về bạn đọc và “cuộc sống mãi mãi xanh tươi”. Ông đã được trao tặng Giải thưởng Văn học ASEAN (năm 1998), Giải thưởng Nhà nước về Văn học Nghệ thuật (năm 2001), Giải thưởng Hồ Chí Minh về Văn học Nghệ thuật (năm 2012).
Ma Văn Kháng là một tên tuổi lớn của văn học đương đại Việt Nam, đạt thành tựu cả về truyện ngắn và tiểu thuyết, xuất sắc với đề tài miền núi cũng như đề tài đô thị. Điều đáng kể hơn nữa, trong tác phẩm của Ma Văn Kháng, chủ nghĩa nhân đạo và lẽ sống cao thượng luôn được đề cao, tỏa sáng cứu rỗi, giúp người đọc có hi vọng vào tình người, tình đời.
Tiểu thuyết Mùa lá rụng trong vườn của ông từng được trích giảng trong chương trình Ngữ Văn lớp 12.
Tác phẩm của nhà văn Ma Văn Kháng:
*Truyện ngắn: Phố cụt (1961), Xa Phủ (1969), Ngày đẹp trời (1986), Vệ sĩ của Quan Châu (1988), Trái chín mùa thu (1988), Heo may gió lộng (1992), Trăng soi sân nhỏ (1994), Ngoại thành (1996), Truyện ngắn Ma Văn Kháng (tuyển tập, 1996), Vòng quay cổ điển (1997), Một chiều giông gió (1999), Một mối tình si (2000), Cỏ dại (2005), Bà ngoại (2005), Trốn nợ (2008), Mùa thu đảo chiều (2012), Những truyện hay viết cho thiếu nhi (2013), Nỗi nhớ mưa phùn (2015), 100 truyện ngắn Ma Văn Kháng (3 tập, 2017), Bãi Vàng (2018), Người khách kì lạ (2019)…
*Tiểu thuyết: Đồng bạc trắng hoa xòe (1979), Mưa mùa hạ (1982), Vùng biên ải (1983), Võ sĩ lên đài (1983), Trăng non (1984), Mùa lá rụng trong vườn (1985), Côi cút giữa cảnh đời (1989), Đám cưới không có giấy giá thú (1989), Chó Bi, đời lưu lạc (1992), Ngược dòng nước lũ (1999), Gặp gỡ ở La Pan Tẩn (2001), Một mình một ngựa (2009), Năm tháng nhọc nhằn, năm tháng nhớ thương (hồi kí, 2009), Chuyện của Lý (2014), Người thợ mộc và tấm ván thiên (2015), Chim én liệng trời cao (2017), Con của nhà trời (2 tập, 2018), Mãi mãi một thời thiếu sinh quân (2019)… 
",https://cdn0.fahasa.com/media/catalog/product/t/u/tu-sach-van-hoc-trong-nha-truong_mua-la-rung-trong-vuon_bia.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
789,Công Ty Phép Thuật 2 - Bùa Chú Lọ Lem,"86.400 đ
				","
Công Ty Phép Thuật 2 - Bùa Chú Lọ Lem
Từ Texas đến New York lập nghiệp, cô gái trẻ Katie Chandler hy vọng tìm được một công việc thực sự phù hợp và “kiếm” được một chàng trai ưng ý. Thế nhưng có vẻ như mơ ước đó còn xa mới trở thành sự thật, và cuộc sống của Katie vẫn diễn ra với những chuyện tẻ nhạt hàng ngày nơi công sở. Cho tới một hôm, bỗng một số người thuộc “công ty phép thuật” phát hiện ra Katie và mong muốn tuyển dụng cô vì cô là người “miễn nhiễm” – số rất ít người có thể nhìn qua màn ảo ảnh phép thuật.
Giai đoạn đầu làm việc ở công ty phép thuật thật lạ lẫm nhưng đầy thú vị mở ra một thế giới khác với Katie: Vẫn là những công việc thư ký, hành chính, marketing nhưng cô làm việc với sản phẩm là thần chú, ảo ảnh và với đồng nghiệp là thần tiên, pháp sư: vẫn những câu chuyện bi hài nơi công sở và một chút bóng dáng của kẻ xấu mà cô phải góp sức để đánh bại. Hơn thế nữa, nơi đó còn có “hoàng tử trong mơ” và bao câu chuyện hấp dẫn khác đang chờ cô khám phá. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935212333542.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
790,Công Ty Phép Thuật 3 - Họa Vô Đơn Chí,"86.400 đ
				","
Công Ty Phép Thuật 3 - Họa Vô Đơn Chí
Từ Texas đến New York lập nghiệp, cô gái trẻ Katie Chandler hy vọng tìm được một công việc thực sự phù hợp và “kiếm” được một chàng trai ưng ý. Thế nhưng có vẻ như mơ ước đó còn xa mới trở thành sự thật, và cuộc sống của Katie vẫn diễn ra với những chuyện tẻ nhạt hàng ngày nơi công sở. Cho tới một hôm, bỗng một số người thuộc “công ty phép thuật” phát hiện ra Katie và mong muốn tuyển dụng cô vì cô là người “miễn nhiễm” – số rất ít người có thể nhìn qua màn ảo ảnh phép thuật.
Giai đoạn đầu làm việc ở công ty phép thuật thật lạ lẫm nhưng đầy thú vị mở ra một thế giới khác với Katie: Vẫn là những công việc thư ký, hành chính, marketing nhưng cô làm việc với sản phẩm là thần chú, ảo ảnh và với đồng nghiệp là thần tiên, pháp sư: vẫn những câu chuyện bi hài nơi công sở và một chút bóng dáng của kẻ xấu mà cô phải góp sức để đánh bại. Hơn thế nữa, nơi đó còn có “hoàng tử trong mơ” và bao câu chuyện hấp dẫn khác đang chờ cô khám phá. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935212333559.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
791,Bước Đường Viết Văn,"89.250 đ
				","
Hồi ký về bước đường viết văn của nhà văn Nguyên Hồng, những khát khao và nhiệt thành của ông với văn chương từ khi còn rất trẻ, 17,18 tuổi, tới lúc thành danh trên văn đàn. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_180489.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
